stem,lo_rva,hi_rva
graphics,0x4cd0,0x233d0
grlight,0x233d0,0x24740
shapebase,0x24740,0x38390
shplightflares,0x38390,0x39950
shpobjcoll,0x39950,0x3ada0
shproutes,0x3ada0,0x3c6a0
node,0x3c6a0,0x3da90
matmath,0x3da90,0x40400
sysmath,0x40400,0x49e80
ayustack,0x49e80,0x4af60
age,0x4af60,0x4d260
atx,0x4d260,0x4e180
baseapp,0x4e180,0x4e800
camera,0x4e800,0x51b50
cmdstream,0x51b50,0x52600
controller,0x52600,0x52ec0
id32,0x52ec0,0x538c0
stdsystem,0x538c0,0x55c10
stream,0x55c10,0x56840
streambufferedinput,0x56840,0x56b50
string,0x56b50,0x57500
timers,0x57500,0x58350
tristripifier,0x58350,0x5a3c0
oglgraphics,0x5a3c0,0x601c0
oglshapeopt,0x601c0,0x602c0
texture,0x602c0,0x62390
alignedstream,0x62390,0x627e0
attachmodule,0x627e0,0x62830
atxbuffer,0x62830,0x63120
atxdirectrouter,0x63120,0x637e0
controllermgr,0x637e0,0x63dd0
fileio,0x63dd0,0x64240
gameapp,0x64240,0x664c0
modulemgr,0x664c0,0x66f60
sysnew,0x66f60,0x67550
system,0x67550,0x69830
tcpstream,0x69830,0x69b90
uicore,0x69b90,0x6a1c0
uirenderwindow,0x6a1c0,0x6aeb0
uitools,0x6aeb0,0x6b300
uiwindow,0x6b300,0x6dae0
wsocket,0x6dae0,0x6e4f8
chkstk,0x6e920,0x6e950
ehvecdtr,0x6e970,0x6eacc
llmul,0x6eb20,0x6eb54
crtdll,0x6eb60,0x6ed64
atonexit,0x6ed80,0x6edd8
